Site,Parameter,Date (LST),Value,Unit,QCCode,OPCode
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/18 00:00,5.51,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/19 00:00,7.3,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/20 00:00,12.2,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/21 00:00,10.61,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/22 00:00,11.68,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/23 00:00,8.55,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/24 00:00,5.35,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/25 00:00,5.18,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/26 00:00,10.73,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/27 00:00,10.68,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/28 00:00,12.66,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/02/29 00:00,9.24,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/01 00:00,5.61,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/02 00:00,3.6,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/03 00:00,4.76,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/04 00:00,11.71,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/05 00:00,11.59,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/06 00:00,4.61,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/07 00:00,3.07,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/08 00:00,4.88,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/09 00:00,4.39,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/10 00:00,4.41,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/11 00:00,4.34,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/12 00:00,6.02,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/13 00:00,11.47,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/14 00:00,3.88,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/15 00:00,3.36,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/16 00:00,2.78,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/17 00:00,7.6,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/18 00:00,4.63,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/19 00:00,5.84,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/20 00:00,7.16,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/21 00:00,5.4,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/22 00:00,5.56,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/23 00:00,6.66,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/24 00:00,3.28,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/25 00:00,3.25,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/26 00:00,3.01,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/27 00:00,7.3,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/28 00:00,-999,ug/m3,8,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/29 00:00,-999,ug/m3,8,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/30 00:00,-999,ug/m3,8,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/03/31 00:00,-999,ug/m3,8,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/04/01 00:00,-999,ug/m3,8,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/04/02 00:00,4.62,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/04/03 00:00,5.79,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/04/04 00:00,3.18,ug/m3,0,0
Concord - 2956-A Treat Blvd,PM2.5_T640,2020/04/05 00:00,3.47,ug/m3,0,0
